Song Name,Artist Name
God's Plan,Drake
Perfect,Ed Sheeran
Meant to Be,Bebe Rexha featuring Florida Georgia Line
Havana,Camila Cabello featuring Young Thug
Rockstar,Post Malone featuring 21 Savage
Psycho,Post Malone featuring Ty Dolla Sign
I Like It,"Cardi B, Bad Bunny and J Balvin"
The Middle,"Zedd, Maren Morris and Grey"
In My Feelings,Drake
Girls Like You,Maroon 5 featuring Cardi B
Nice for What,Drake
Lucid Dreams,Juice Wrld
Better Now,Post Malone
Finesse,Bruno Mars featuring Cardi B
Boo'd Up,Ella Mai
New Rules,Dua Lipa
Sad!,XXXTentacion
Never Be the Same,Camila Cabello
Love Lies,Khalid and Normani
No Tears Left to Cry,Ariana Grande
Mine,Bazzi
Thunder,Imagine Dragons
Look Alive,BlocBoy JB featuring Drake
Delicate,Taylor Swift
Yes Indeed,Lil Baby and Drake
Friends,Marshmello and Anne-Marie
Bad at Love,Halsey
Taste,Tyga featuring Offset
Let You Down,NF
No Limit,G-Eazy featuring ASAP Rocky and Cardi B
Fefe,6ix9ine featuring Nicki Minaj and Murda Beatz
Tequila,Dan + Shay
Feel It Still,Portugal. The Man
MotorSport,"Migos, Nicki Minaj and Cardi B"
I Like Me Better,Lauv
Youngblood,5 Seconds of Summer
Whatever It Takes,Imagine Dragons
Ric Flair Drip,Offset and Metro Boomin
I Fall Apart,Post Malone
Pray for Me,The Weeknd and Kendrick Lamar
Back to You,Selena Gomez
Sicko Mode,Travis Scott
Walk It Talk It,Migos featuring Drake
Gucci Gang,Lil Pump
Him & I,G-Eazy and Halsey
In My Blood,Shawn Mendes
All the Stars,Kendrick Lamar and SZA
Stir Fry,Migos
Too Good at Goodbyes,Sam Smith
Love,Kendrick Lamar featuring Zacari
This Is America,Childish Gambino
Nonstop,Drake
Heaven,Kane Brown
Bodak Yellow,Cardi B
Freaky Friday,Lil Dicky featuring Chris Brown
Gummo,6ix9ine
Plug Walk,Rich the Kid
Wait,Maroon 5
Be Careful,Cardi B
Wolves,Selena Gomez and Marshmello
Bartier Cardi,Cardi B featuring 21 Savage
God Is a Woman,Ariana Grande
Big Bank,"YG featuring 2 Chainz, Nicki Minaj and Big Sean"
Sorry Not Sorry,Demi Lovato
How Long,Charlie Puth
Lights Down Low,Max featuring Gnash
Young Dumb & Broke,Khalid
One Kiss,Calvin Harris and Dua Lipa
Natural,Imagine Dragons
You Make It Easy,Jason Aldean
Shape of You,Ed Sheeran
I Get the Bag,Gucci Mane featuring Migos
No Brainer,"DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo"
Plain Jane,ASAP Ferg featuring Nicki Minaj
Sky Walker,Miguel featuring Travis Scott
Marry Me,Thomas Rhett
Eastside,"Benny Blanco, Halsey and Khalid"
Call Out My Name,The Weeknd
King's Dead,"Jay Rock, Kendrick Lamar, Future and James Blake"
Happier,Marshmello and Bastille
Te Boté,"Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna"
Simple,Florida Georgia Line
Lemon,N.E.R.D and Rihanna
1-800-273-8255,Logic featuring Alessia Cara and Khalid
Say Something,Justin Timberlake featuring Chris Stapleton
I'm Upset,Drake
Get Along,Kenny Chesney
Moonlight,XXXTentacion
What Lovers Do,Maroon 5 featuring SZA
X,Nicky Jam and J Balvin
Outside Today,YoungBoy Never Broke Again
Trip,Ella Mai
Dura,Daddy Yankee
Changes,XXXTentacion
Mercy,Brett Young
One Number Away,Luke Combs
Powerglide,Rae Sremmurd featuring Juicy J
IDGAF,Dua Lipa
Mi Gente,J Balvin and Willy William featuring Beyoncé
Believer,Imagine Dragons
