Song Name,Artist Name
Die with a Smile,Lady Gaga and Bruno Mars
Luther,Kendrick Lamar and SZA
A Bar Song (Tipsy),Shaboozey
Lose Control,Teddy Swims
Birds of a Feather,Billie Eilish
Beautiful Things,Benson Boone
Ordinary,Alex Warren
I Had Some Help,Post Malone featuring Morgan Wallen
APT.,Rosé and Bruno Mars
Pink Pony Club,Chappell Roan
Love Somebody,Morgan Wallen
Espresso,Sabrina Carpenter
I'm the Problem,Morgan Wallen
That's So True,Gracie Abrams
TV Off,Kendrick Lamar featuring Lefty Gunplay
Timeless,The Weeknd and Playboi Carti
Not Like Us,Kendrick Lamar
Just in Case,Morgan Wallen
Taste,Sabrina Carpenter
Squabble Up,Kendrick Lamar
30 for 30,SZA and Kendrick Lamar
Mutt,Leon Thomas
Good News,Shaboozey
Nokia,Drake
Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami"
Wildflower,Billie Eilish
What I Want,Morgan Wallen featuring Tate McRae
Messy,Lola Young
Stargazing,Myles Smith
Love Me Not,Ravyn Lenae
"Good Luck, Babe!",Chappell Roan
No One Noticed,The Marías
All the Way,BigXthaPlug featuring Bailey Zimmerman
Too Sweet,Hozier
Worst Way,Riley Green
Sailor Song,Gigi Perez
Sorry I'm Here for Someone Else,Benson Boone
Manchild,Sabrina Carpenter
Anxiety,Doechii
I Got Better,Morgan Wallen
Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne"
Undressed,Sombr
I Never Lie,Zach Top
Back to Friends,Sombr
Bed Chem,Sabrina Carpenter
Sports Car,Tate McRae
Mystical Magical,Benson Boone
Whatchu Kno About Me,GloRilla and Sexyy Red
Indigo,Sam Barber featuring Avery Anna
Please Please Please,Sabrina Carpenter
DTMF,Bad Bunny
Blue Strips,Jessie Murph
Peekaboo,Kendrick Lamar featuring AzChike
Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee"
High Road,Koe Wetzel featuring Jessie Murph
Abracadabra,Lady Gaga
Who,Jimin
Burning Blue,Mariah the Scientist
All I Want for Christmas Is You,Mariah Carey
Daisies,Justin Bieber
Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee"
Like Him,"Tyler, the Creator featuring Lola Young"
Residuals,Chris Brown
Smile,Morgan Wallen
Last Christmas,Wham!
Am I Okay?,Megan Moroney
Rockin' Around the Christmas Tree,Brenda Lee
How It's Done,"Huntrix: Ejae, Audrey Nuna and Rei Ami"
Happen to Me,Russell Dickerson
Baile Inolvidable,Bad Bunny
Weren't for the Wind,Ella Langley
I Ain't Comin' Back,Morgan Wallen featuring Post Malone
Cry for Me,The Weeknd
Bad Dreams,Teddy Swims
Denial Is a River,Doechii
BMF,SZA
Eoo,Bad Bunny
I'm Gonna Love You,Cody Johnson and Carrie Underwood
I Am Not Okay,Jelly Roll
Backup Plan,Bailey Zimmerman and Luke Combs
Jingle Bell Rock,Bobby Helms
Revolving Door,Tate McRae
What It Sounds Like,"Huntrix: Ejae, Audrey Nuna and Rei Ami"
Hard Fought Hallelujah,Brandon Lake and Jelly Roll
Somebody Loves Me,PartyNextDoor and Drake
Liar,Jelly Roll
Tu Boda,Óscar Maydon and Fuerza Regida
After All the Bars Are Closed,Thomas Rhett
Nuevayol,Bad Bunny
20 Cigarettes,Morgan Wallen
Rather Lie,Playboi Carti and the Weeknd
Free,Ejae and Andrew Choi
Takedown,"Huntrix: Ejae, Audrey Nuna and Rei Ami"
Heart of a Woman,Summer Walker
House Again,Hudson Westbrook
Dark Thoughts,Lil Tecca
No Pole,Don Toliver
Folded,Kehlani
Superman,Morgan Wallen
Loco,Netón Vega
