Song Name,Artist Name
Believe,Cher
No Scrubs,TLC
Angel of Mine,Monica
Heartbreak Hotel,Whitney Houston featuring Faith Evans and Kelly Price
...Baby One More Time,Britney Spears
Kiss Me,Sixpence None the Richer
Genie in a Bottle,Christina Aguilera
Every Morning,Sugar Ray
Nobody's Supposed to Be Here,Deborah Cox
Livin' la Vida Loca,Ricky Martin
Where My Girls At?,702
If You Had My Love,Jennifer Lopez
Slide,Goo Goo Dolls
Have You Ever?,Brandy
I Want It That Way,Backstreet Boys
I'm Your Angel,R. Kelly and Celine Dion
All Star,Smash Mouth
Angel,Sarah McLachlan
Smooth,Santana featuring Rob Thomas
Unpretty,TLC
"Bills, Bills, Bills",Destiny's Child
Save Tonight,Eagle-Eye Cherry
Last Kiss,Pearl Jam
Fortunate,Maxwell
All I Have to Give,Backstreet Boys
Bailamos,Enrique Iglesias
What's It Gonna Be?!,Busta Rhymes featuring Janet
What It's Like,Everlast
Fly Away,Lenny Kravitz
Someday,Sugar Ray
Lately,Divine
That Don't Impress Me Much,Shania Twain
Wild Wild West,Will Smith featuring Dru Hill and Kool Moe Dee
Scar Tissue,Red Hot Chili Peppers
Heartbreaker,Mariah Carey featuring Jay-Z
I Still Believe,Mariah Carey
The Hardest Thing,98 Degrees
Summer Girls,LFO
Can I Get A...,Jay-Z featuring Amil and Ja Rule
Jumper,Third Eye Blind
Doo Wop (That Thing),Lauryn Hill
Mambo No. 5,Lou Bega
Sweet Lady,Tyrese
It's Not Right but It's Okay,Whitney Houston
(God Must Have Spent) A Little More Time on You,NSYNC
Lullaby,Shawn Mullins
Anywhere,112 featuring Lil Zane
Tell Me It's Real,K-Ci & JoJo
Back 2 Good,Matchbox 20
808,Blaque
She's So High,Tal Bachman
She's All I Ever Had,Ricky Martin
Miami,Will Smith
Hands,Jewel
Who Dat,JT Money featuring Solé
Please Remember Me,Tim McGraw
From This Moment On,Shania Twain
Love Like This,Faith Evans
You,Jesse Powell
Trippin',Total featuring Missy Elliott
If You,Silk
Ex-Factor,Lauryn Hill
Give It to You,Jordan Knight
Black Balloon,Goo Goo Dolls
Spend My Life with You,Eric Benét featuring Tamia
These Are the Times,Dru Hill
I Don't Want to Miss a Thing,Mark Chesnutt
I Do (Cherish You),98 Degrees
Because of You,98 Degrees
I Will Remember You,Sarah McLachlan
Chanté's Got a Man,Chanté Moore
Happily Ever After,Case
My Love Is Your Love,Whitney Houston
All Night Long,Faith Evans featuring Puff Daddy
Back That Thang Up,Juvenile featuring Mannie Fresh and Lil Wayne
Almost Doesn't Count,Brandy
Man! I Feel Like a Woman!,Shania Twain
Steal My Sunshine,Len
I Need to Know,Marc Anthony
So Anxious,Ginuwine
Faded Pictures,Case featuring Joe
Back at One,Brian McKnight
When a Woman's Fed Up,R. Kelly
How Forever Feels,Kenny Chesney
Amazed,Lonestar
Sometimes,Britney Spears
Ghetto Cowboy,Mo Thugs
Out of My Head,Fastball
Hard Knock Life (Ghetto Anthem),Jay-Z
Jamboree,Naughty by Nature featuring Zhané
Take Me There,"Blackstreet featuring Mýa, Mase and Blinky Blink"
Stay the Same,Joey McIntyre
A Lesson in Leavin',Jo Dee Messina
Iris,Goo Goo Dolls
Satisfy You,Puff Daddy featuring R. Kelly
Better Days (And the Bottom Drops Out),Citizen King
Music of My Heart,NSYNC and Gloria Estefan
Write This Down,George Strait
When You Believe,Whitney Houston and Mariah Carey
(God Must Have Spent) A Little More Time on You,Alabama and NSYNC
