Song Name,Artist Name
Shape of You,Ed Sheeran
Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber
That's What I Like,Bruno Mars
Humble,Kendrick Lamar
Something Just Like This,The Chainsmokers and Coldplay
Bad and Boujee,Migos featuring Lil Uzi Vert
Closer,The Chainsmokers featuring Halsey
Body Like a Back Road,Sam Hunt
Believer,Imagine Dragons
Congratulations,Post Malone featuring Quavo
Say You Won't Let Go,James Arthur
I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
XO Tour Llif3,Lil Uzi Vert
Mask Off,Future
Unforgettable,French Montana featuring Swae Lee
24K Magic,Bruno Mars
Stay,Zedd and Alessia Cara
Wild Thoughts,DJ Khaled featuring Rihanna and Bryson Tiller
Black Beatles,Rae Sremmurd featuring Gucci Mane
Starboy,The Weeknd featuring Daft Punk
Location,Khalid
Attention,Charlie Puth
There's Nothing Holdin' Me Back,Shawn Mendes
Bodak Yellow,Cardi B
Redbone,Childish Gambino
I Don't Wanna Live Forever,Zayn and Taylor Swift
It Ain't Me,Kygo and Selena Gomez
iSpy,Kyle featuring Lil Yachty
Issues,Julia Michaels
Scars to Your Beautiful,Alessia Cara
1-800-273-8255,Logic featuring Alessia Cara and Khalid
Slow Hands,Niall Horan
Love on the Brain,Rihanna
I Feel It Coming,The Weeknd featuring Daft Punk
Bounce Back,Big Sean
Strip That Down,Liam Payne featuring Quavo
Fake Love,Drake
Don't Wanna Know,Maroon 5 featuring Kendrick Lamar
Look What You Made Me Do,Taylor Swift
Castle on the Hill,Ed Sheeran
Bad Things,Machine Gun Kelly and Camila Cabello
Paris,The Chainsmokers
Side to Side,Ariana Grande featuring Nicki Minaj
Rockabye,Clean Bandit featuring Sean Paul and Anne-Marie
Feel It Still,Portugal. The Man
Let Me Love You,DJ Snake featuring Justin Bieber
Sorry Not Sorry,Demi Lovato
Bank Account,21 Savage
Can't Stop the Feeling!,Justin Timberlake
Mi Gente,J Balvin and Willy William featuring Beyoncé
Thunder,Imagine Dragons
T-shirt,Migos
Rake It Up,Yo Gotti featuring Nicki Minaj
Mercy,Shawn Mendes
Tunnel Vision,Kodak Black
Rockstar,Post Malone featuring 21 Savage
In Case You Didn't Know,Brett Young
Heathens,Twenty One Pilots
Now or Never,Halsey
Caroline,Aminé
Rolex,Ayo & Teo
DNA,Kendrick Lamar
Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
Swang,Rae Sremmurd
Passionfruit,Drake
Loyalty,Kendrick Lamar featuring Rihanna
Praying,Kesha
Goosebumps,Travis Scott
Cold,Maroon 5 featuring Future
Broccoli,DRAM featuring Lil Yachty
Slide,Calvin Harris featuring Frank Ocean and Migos
What Ifs,Kane Brown featuring Lauren Alaina
Chained to the Rhythm,Katy Perry featuring Skip Marley
Feels,"Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean"
All Time Low,Jon Bellion
Hurricane,Luke Combs
Too Good at Goodbyes,Sam Smith
Young Dumb & Broke,Khalid
Magnolia,Playboi Carti
Love Galore,SZA featuring Travis Scott
Drowning,A Boogie wit da Hoodie featuring Kodak Black
Starving,Hailee Steinfeld and Grey featuring Zedd
Both,Gucci Mane featuring Drake
What About Us,P!nk
Swalla,Jason Derulo featuring Nicki Minaj and Ty Dolla Sign
Slippery,Migos featuring Gucci Mane
Sign of the Times,Harry Styles
Water Under the Bridge,Adele
Malibu,Miley Cyrus
Down,Marian Hill
No Promises,Cheat Codes featuring Demi Lovato
Treat You Better,Shawn Mendes
I Get the Bag,Gucci Mane featuring Migos
Small Town Boy,Dustin Lynch
Everyday We Lit,YFN Lucci featuring PnB Rock
Havana,Camila Cabello featuring Young Thug
What Lovers Do,Maroon 5 featuring SZA
Do Re Mi,Blackbear
Look at Me!,XXXTentacion
The Fighter,Keith Urban featuring Carrie Underwood
