SONG_TITLE,ARTIST_NAME,Billboard_Year,Billboard_Rank,HitScore
Don't Stop the Music,Rihanna,2008,17,0.84
Pocketful of Sunshine,Natasha Bedingfield,2008,18,0.83
Kiss Kiss,Chris Brown featuring T-Pain,2008,19,0.82
Closer,Ne-Yo,2008,20,0.81
Bubbly,Colbie Caillat,2008,21,0.8
Touch My Body,Mariah Carey,2008,22,0.79
4 Minutes,Madonna featuring Justin Timberlake and Timbaland,2008,23,0.78
So What,Pink,2008,24,0.77
Paralyzer,Finger Eleven,2008,25,0.76
Clumsy,Fergie,2008,26,0.75
I'm Yours,Jason Mraz,2008,27,0.74
Leavin',Jesse McCartney,2008,28,0.73
Dangerous,Kardinal Offishall featuring Akon,2008,29,0.72
Tattoo,Jordin Sparks,2008,30,0.71
See You Again,Miley Cyrus,2008,31,0.7
Shake It,Metro Station,2008,32,0.69
Stop and Stare,OneRepublic,2008,33,0.68
Take You There,Sean Kingston,2008,34,0.67
Paper Planes,M.I.A.,2008,35,0.66
Hot n Cold,Katy Perry,2008,36,0.65
Live Your Life,T.I. featuring Rihanna,2008,37,0.64
Bust It Baby (Part 2),Plies featuring Ne-Yo,2008,38,0.63
American Boy,Estelle featuring Kanye West,2008,39,0.62
Got Money,Lil Wayne featuring T-Pain,2008,40,0.61
Our Song,Taylor Swift,2008,41,0.6
Damaged,Danity Kane,2008,42,0.59
A Milli,Lil Wayne,2008,43,0.58
Sorry,Buckcherry,2008,44,0.57
Independent,Webbie featuring Lil Boosie and Lil Phat,2008,45,0.56
Can't Believe It,T-Pain featuring Lil Wayne,2008,46,0.55
Like You'll Never See Me Again,Alicia Keys,2008,47,0.54
Teardrops on My Guitar,Taylor Swift,2008,48,0.53
When I Grow Up,Pussycat Dolls,2008,49,0.52
Sexual Eruption,Snoop Dogg,2008,50,0.51
What You Got,Colby O'Donis featuring Akon,2008,51,0.5
It's Not My Time,3 Doors Down,2008,52,0.49
Better in Time,Leona Lewis,2008,53,0.48
Crank That (Soulja Boy),Soulja Boy Tell 'Em,2008,54,0.47
Shadow of the Day,Linkin Park,2008,55,0.46
Sweetest Girl (Dollar Bill),"Wyclef Jean featuring Akon, Lil Wayne and Niia",2008,56,0.45
Miss Independent,Ne-Yo,2008,57,0.44
Fall for You,Secondhand Serenade,2008,58,0.43
In the Ayer,Flo Rida featuring will.i.am,2008,59,0.42
Say,John Mayer,2008,60,0.41
One Step at a Time,Jordin Sparks,2008,61,0.4
Hate That I Love You,Rihanna featuring Ne-Yo,2008,62,0.39
Superstar,Lupe Fiasco featuring Matthew Santos,2008,63,0.38
Suffocate,J. Holiday,2008,64,0.37
Let It Rock,Kevin Rudolf featuring Lil Wayne,2008,65,0.36
Get Like Me,David Banner featuring Chris Brown and Yung Joc,2008,66,0.35
Realize,Colbie Caillat,2008,67,0.34
Put On,Young Jeezy featuring Kanye West,2008,68,0.33
The Time of My Life,David Cook,2008,69,0.32
Lolli Lolli (Pop That Body),Three 6 Mafia,2008,70,0.31
Cyclone,Baby Bash featuring T-Pain,2008,71,0.3
Love Like This,Natasha Bedingfield featuring Sean Kingston,2008,72,0.29
Burnin' Up,Jonas Brothers,2008,73,0.28
Love Lockdown,Kanye West,2008,74,0.27
I Luv Your Girl,The-Dream,2008,75,0.26
Crush,David Archuleta,2008,76,0.25
Hypnotized,Plies featuring Akon,2008,77,0.24
Big Girls Don't Cry,Fergie,2008,78,0.23
Good Life,Kanye West featuring T-Pain,2008,79,0.22
Womanizer,Britney Spears,2008,80,0.21
Love Story,Taylor Swift,2008,81,0.2
Just Fine,Mary J. Blige,2008,82,0.19
Piece of Me,Britney Spears,2008,83,0.18
The Boss,Rick Ross featuring T-Pain,2008,84,0.17
All Summer Long,Kid Rock,2008,85,0.16
Can't Help but Wait,Trey Songz,2008,86,0.15
In Love with a Girl,Gavin DeGraw,2008,87,0.14
My Life,The Game featuring Lil Wayne,2008,88,0.13
I Remember,Keyshia Cole,2008,89,0.12
Flashing Lights,Kanye West featuring Dwele,2008,90,0.11
Mrs. Officer,Lil Wayne featuring Bobby Valentino and Kidd Kidd,2008,91,0.1
7 Things,Miley Cyrus,2008,92,0.09
You're Gonna Miss This,Trace Adkins,2008,93,0.08
Love Remains the Same,Gavin Rossdale,2008,94,0.07
Feels Like Tonight,Daughtry,2008,95,0.06
The Way I Are,Timbaland featuring Keri Hilson,2008,96,0.05
Addicted,Saving Abel,2008,97,0.04
Into the Night,Santana featuring Chad Kroeger,2008,98,0.03
Heaven Sent,Keyshia Cole,2008,99,0.02
She Got It,2 Pistols featuring T-Pain and Tay Dizm,2008,100,0.01
Boom Boom Pow,The Black Eyed Peas,2009,1,1.0
Poker Face,Lady Gaga,2009,2,0.99
Just Dance,Lady Gaga featuring Colby O'Donis,2009,3,0.98
I Gotta Feeling,The Black Eyed Peas,2009,4,0.97
Love Story,Taylor Swift,2009,5,0.96
Right Round,Flo Rida,2009,6,0.95
I'm Yours,Jason Mraz,2009,7,0.94
Single Ladies (Put a Ring on It),Beyoncé,2009,8,0.93
Heartless,Kanye West,2009,9,0.92
Gives You Hell,The All-American Rejects,2009,10,0.91
You Belong with Me,Taylor Swift,2009,11,0.9
Dead and Gone,T.I. featuring Justin Timberlake,2009,12,0.89
You Found Me,The Fray,2009,13,0.88
Use Somebody,Kings of Leon,2009,14,0.87
Knock You Down,Keri Hilson featuring Kanye West and Ne-Yo,2009,15,0.86
Blame It,Jamie Foxx featuring T-Pain,2009,16,0.85
I Know You Want Me (Calle Ocho),Pitbull,2009,17,0.84
Live Your Life,T.I. featuring Rihanna,2009,18,0.83
Kiss Me thru the Phone,Soulja Boy Tell 'Em featuring Sammie,2009,19,0.82
Down,Jay Sean featuring Lil Wayne,2009,20,0.81
The Climb,Miley Cyrus,2009,21,0.8
Best I Ever Had,Drake,2009,22,0.79
My Life Would Suck Without You,Kelly Clarkson,2009,23,0.78
Halo,Beyoncé,2009,24,0.77
Hot n Cold,Katy Perry,2009,25,0.76
Second Chance,Shinedown,2009,26,0.75
Circus,Britney Spears,2009,27,0.74
Day 'n' Nite,Kid Cudi,2009,28,0.73
Party in the U.S.A.,Miley Cyrus,2009,29,0.72
Don't Trust Me,3OH!3,2009,30,0.71
Run This Town,Jay-Z featuring Rihanna and Kanye West,2009,31,0.7
Let It Rock,Kevin Rudolf featuring Lil Wayne,2009,32,0.69
Fire Burning,Sean Kingston,2009,33,0.68
Whatcha Say,Jason Derulo,2009,34,0.67
LoveGame,Lady Gaga,2009,35,0.66
Waking Up in Vegas,Katy Perry,2009,36,0.65
Birthday Sex,Jeremih,2009,37,0.64
Sober,Pink,2009,38,0.63
Womanizer,Britney Spears,2009,39,0.62
Whatever You Like,T.I.,2009,40,0.61
Obsessed,Mariah Carey,2009,41,0.6
Mad,Ne-Yo,2009,42,0.59
Good Girls Go Bad,Cobra Starship featuring Leighton Meester,2009,43,0.58
Love Lockdown,Kanye West,2009,44,0.57
So What,Pink,2009,45,0.56
Hotel Room Service,Pitbull,2009,46,0.55
Crack a Bottle,"Eminem, Dr. Dre and 50 Cent",2009,47,0.54
If I Were a Boy,Beyoncé,2009,48,0.53
Turnin Me On,Keri Hilson featuring Lil Wayne,2009,49,0.52
I Hate This Part,Pussycat Dolls,2009,50,0.51
Gotta Be Somebody,Nickelback,2009,51,0.5
Please Don't Leave Me,Pink,2009,52,0.49
Paparazzi,Lady Gaga,2009,53,0.48
Beautiful,Akon featuring Colby O'Donis and Kardinal Offishall,2009,54,0.47
Viva la Vida,Coldplay,2009,55,0.46
Right Now (Na Na Na),Akon,2009,56,0.45
Battlefield,Jordin Sparks,2009,57,0.44
Sugar,Flo Rida featuring Wynter,2009,58,0.43
Miss Independent,Ne-Yo,2009,59,0.42
Fireflies,Owl City,2009,60,0.41
New Divide,Linkin Park,2009,61,0.4
Empire State of Mind,Jay-Z featuring Alicia Keys,2009,62,0.39
No Surprise,Daughtry,2009,63,0.38
She Wolf,Shakira,2009,64,0.37
Break Up,Mario featuring Gucci Mane and Sean Garrett,2009,65,0.36
Sweet Dreams,Beyoncé,2009,66,0.35
Every Girl,Young Money,2009,67,0.34
Fallin' for You,Colbie Caillat,2009,68,0.33
Untouched,The Veronicas,2009,69,0.32
If Today Was Your Last Day,Nickelback,2009,70,0.31
Throw It in the Bag,Fabolous featuring The-Dream,2009,71,0.3
Love Drunk,Boys Like Girls,2009,72,0.29
I Love College,Asher Roth,2009,73,0.28
If U Seek Amy,Britney Spears,2009,74,0.27
Big Green Tractor,Jason Aldean,2009,75,0.26
White Horse,Taylor Swift,2009,76,0.25
Disturbia,Rihanna,2009,77,0.24
21 Guns,Green Day,2009,78,0.23
Turn My Swag On,Soulja Boy Tell 'Em,2009,79,0.22
Rockin' That Thang,The-Dream,2009,80,0.21
Chicken Fried,Zac Brown Band,2009,81,0.2
Diva,Beyoncé,2009,82,0.19
Replay,Iyaz,2009,83,0.18
Then,Brad Paisley,2009,84,0.17
Her Diamonds,Rob Thomas,2009,85,0.16
How Do You Sleep?,Jesse McCartney featuring Ludacris,2009,86,0.15
3,Britney Spears,2009,87,0.14
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2009,88,0.13
One Time,Justin Bieber,2009,89,0.12
I Run to You,Lady Antebellum,2009,90,0.11
I Do Not Hook Up,Kelly Clarkson,2009,91,0.1
Green Light,John Legend featuring André 3000,2009,92,0.09
People Are Crazy,Billy Currington,2009,93,0.08
Whatever It Is,Zac Brown Band,2009,94,0.07
Already Gone,Kelly Clarkson,2009,95,0.06
Goodbye,Kristinia DeBarge,2009,96,0.05
Say Hey (I Love You),Michael Franti & Spearhead featuring Cherine Anderson,2009,97,0.04
Pop Champagne,Jim Jones featuring Ron Browz and Juelz Santana,2009,98,0.03
Pretty Wings,Maxwell,2009,99,0.02
Never Say Never,The Fray,2009,100,0.01
Tik Tok,Kesha,2010,1,1.0
Need You Now,Lady Antebellum,2010,2,0.99
"Hey, Soul Sister",Train,2010,3,0.98
California Gurls,Katy Perry featuring Snoop Dogg,2010,4,0.97
OMG,Usher featuring will.i.am,2010,5,0.96
Airplanes,B.o.B featuring Hayley Williams,2010,6,0.95
Love the Way You Lie,Eminem featuring Rihanna,2010,7,0.94
Bad Romance,Lady Gaga,2010,8,0.93
Dynamite,Taio Cruz,2010,9,0.92
Break Your Heart,Taio Cruz featuring Ludacris,2010,10,0.91
Nothin' on You,B.o.B featuring Bruno Mars,2010,11,0.9
I Like It,Enrique Iglesias featuring Pitbull,2010,12,0.89
BedRock,Young Money featuring Lloyd,2010,13,0.88
In My Head,Jason Derulo,2010,14,0.87
Rude Boy,Rihanna,2010,15,0.86
Telephone,Lady Gaga featuring Beyoncé,2010,16,0.85
Teenage Dream,Katy Perry,2010,17,0.84
Just the Way You Are,Bruno Mars,2010,18,0.83
Cooler Than Me,Mike Posner,2010,19,0.82
Imma Be,The Black Eyed Peas,2010,20,0.81
Empire State of Mind,Jay-Z featuring Alicia Keys,2010,21,0.8
DJ Got Us Fallin' in Love,Usher featuring Pitbull,2010,22,0.79
Billionaire,Travie McCoy featuring Bruno Mars,2010,23,0.78
Not Afraid,Eminem,2010,24,0.77
Replay,Iyaz,2010,25,0.76
Sexy Bitch,David Guetta featuring Akon,2010,26,0.75
Breakeven,The Script,2010,27,0.74
Your Love Is My Drug,Kesha,2010,28,0.73
I Gotta Feeling,The Black Eyed Peas,2010,29,0.72
Fireflies,Owl City,2010,30,0.71
Say Aah,Trey Songz featuring Fabolous,2010,31,0.7
Find Your Love,Drake,2010,32,0.69
Alejandro,Lady Gaga,2010,33,0.68
Ridin' Solo,Jason Derulo,2010,34,0.67
Just a Dream,Nelly,2010,35,0.66
How Low,Ludacris,2010,36,0.65
Like a G6,Far East Movement featuring The Cataracs and Dev,2010,37,0.64
Carry Out,Timbaland featuring Justin Timberlake,2010,38,0.63
Haven't Met You Yet,Michael Bublé,2010,39,0.62
Club Can't Handle Me,Flo Rida featuring David Guetta,2010,40,0.61
Down,Jay Sean featuring Lil Wayne,2010,41,0.6
Bulletproof,La Roux,2010,42,0.59
Whatcha Say,Jason Derulo,2010,43,0.58
Baby,Justin Bieber featuring Ludacris,2010,44,0.57
Whataya Want from Me,Adam Lambert,2010,45,0.56
Mine,Taylor Swift,2010,46,0.55
Only Girl (In the World),Rihanna,2010,47,0.54
Live Like We're Dying,Kris Allen,2010,48,0.53
Hard,Rihanna featuring Jeezy,2010,49,0.52
Young Forever,Jay-Z featuring Mr Hudson,2010,50,0.51
Blah Blah Blah,Kesha featuring 3OH!3,2010,51,0.5
Bottoms Up,Trey Songz featuring Nicki Minaj,2010,52,0.49
Do You Remember,Jay Sean featuring Sean Paul and Lil Jon,2010,53,0.48
All the Right Moves,OneRepublic,2010,54,0.47
According to You,Orianthi,2010,55,0.46
My Chick Bad,Ludacris featuring Nicki Minaj,2010,56,0.45
You Belong with Me,Taylor Swift,2010,57,0.44
Meet Me Halfway,The Black Eyed Peas,2010,58,0.43
Take It Off,Kesha,2010,59,0.42
Over,Drake,2010,60,0.41
Animal,Neon Trees,2010,61,0.4
Misery,Maroon 5,2010,62,0.39
Magic,B.o.B featuring Rivers Cuomo,2010,63,0.38
Paparazzi,Lady Gaga,2010,64,0.37
Tie Me Down,New Boyz featuring Ray J,2010,65,0.36
Your Love,Nicki Minaj,2010,66,0.35
Party in the U.S.A.,Miley Cyrus,2010,67,0.34
Deuces,Chris Brown featuring Tyga and Kevin McCall,2010,68,0.33
3,Britney Spears,2010,69,0.32
Impossible,Shontelle,2010,70,0.31
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2010,71,0.3
Two Is Better Than One,Boys Like Girls featuring Taylor Swift,2010,72,0.29
My First Kiss,3OH!3 featuring Kesha,2010,73,0.28
Already Gone,Kelly Clarkson,2010,74,0.27
Rock That Body,The Black Eyed Peas,2010,75,0.26
Secrets,OneRepublic,2010,76,0.25
Naturally,Selena Gomez & the Scene,2010,77,0.24
Un-Thinkable (I'm Ready),Alicia Keys,2010,78,0.23
All I Do Is Win,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",2010,79,0.22
I Made It (Cash Money Heroes),"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",2010,80,0.21
Stuck Like Glue,Sugarland,2010,81,0.2
Hey Daddy (Daddy's Home),Usher featuring Plies,2010,82,0.19
There Goes My Baby,Usher,2010,83,0.18
Today Was a Fairytale,Taylor Swift,2010,84,0.17
Say Something,Timbaland featuring Drake,2010,85,0.16
Sweet Dreams,Beyoncé,2010,86,0.15
Use Somebody,Kings of Leon,2010,87,0.14
Undo It,Carrie Underwood,2010,88,0.13
Eenie Meenie,Sean Kingston and Justin Bieber,2010,89,0.12
Right Above It,Lil Wayne featuring Drake,2010,90,0.11
The House That Built Me,Miranda Lambert,2010,91,0.1
If I Die Young,The Band Perry,2010,92,0.09
The Only Exception,Paramore,2010,93,0.08
American Honey,Lady Antebellum,2010,94,0.07
King of Anything,Sara Bareilles,2010,95,0.06
Life After You,Daughtry,2010,96,0.05
Smile,Uncle Kracker,2010,97,0.04
Teach Me How to Dougie,Cali Swag District,2010,98,0.03
Try Sleeping with a Broken Heart,Alicia Keys,2010,99,0.02
"Lover, Lover",Jerrod Niemann,2010,100,0.01
Rolling in the Deep,Adele,2011,1,1.0
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2011,2,0.99
Firework,Katy Perry,2011,3,0.98
E.T.,Katy Perry featuring Kanye West,2011,4,0.97
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer",2011,5,0.96
Grenade,Bruno Mars,2011,6,0.95
Fuck You (Forget You),CeeLo Green,2011,7,0.94
Super Bass,Nicki Minaj,2011,8,0.93
Moves like Jagger,Maroon 5 featuring Christina Aguilera,2011,9,0.92
Just Can't Get Enough,The Black Eyed Peas,2011,10,0.91
On the Floor,Jennifer Lopez featuring Pitbull,2011,11,0.9
S&M,Rihanna,2011,12,0.89
Pumped Up Kicks,Foster the People,2011,13,0.88
Last Friday Night (T.G.I.F.),Katy Perry,2011,14,0.87
Just the Way You Are,Bruno Mars,2011,15,0.86
Tonight (I'm Lovin' You),Enrique Iglesias featuring Ludacris and DJ Frank E,2011,16,0.85
Raise Your Glass,Pink,2011,17,0.84
Born This Way,Lady Gaga,2011,18,0.83
Fuckin' Perfect,Pink,2011,19,0.82
What's My Name?,Rihanna featuring Drake,2011,20,0.81
Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes,2011,21,0.8
Down on Me,Jeremih featuring 50 Cent,2011,22,0.79
How to Love,Lil Wayne,2011,23,0.78
Someone Like You,Adele,2011,24,0.77
Good Life,OneRepublic,2011,25,0.76
The Lazy Song,Bruno Mars,2011,26,0.75
Till the World Ends,Britney Spears,2011,27,0.74
The Show Goes On,Lupe Fiasco,2011,28,0.73
The Edge of Glory,Lady Gaga,2011,29,0.72
We R Who We R,Kesha,2011,30,0.71
Black and Yellow,Wiz Khalifa,2011,31,0.7
Tonight Tonight,Hot Chelle Rae,2011,32,0.69
Blow,Kesha,2011,33,0.68
Lighters,Bad Meets Evil featuring Bruno Mars,2011,34,0.67
If I Die Young,The Band Perry,2011,35,0.66
Stereo Hearts,Gym Class Heroes featuring Adam Levine,2011,36,0.65
The Time (Dirty Bit),The Black Eyed Peas,2011,37,0.64
Coming Home,Diddy – Dirty Money featuring Skylar Grey,2011,38,0.63
Hey Baby (Drop It to the Floor),Pitbull featuring T-Pain,2011,39,0.62
Only Girl (In the World),Rihanna,2011,40,0.61
6 Foot 7 Foot,Lil Wayne featuring Cory Gunz,2011,41,0.6
Just a Kiss,Lady Antebellum,2011,42,0.59
Dirt Road Anthem,Jason Aldean,2011,43,0.58
Dynamite,Taio Cruz,2011,44,0.57
No Hands,Waka Flocka Flame featuring Wale and Roscoe Dash,2011,45,0.56
I Wanna Go,Britney Spears,2011,46,0.55
I'm on One,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne",2011,47,0.54
You Make Me Feel...,Cobra Starship featuring Sabi,2011,48,0.53
Yeah 3x,Chris Brown,2011,49,0.52
Moment 4 Life,Nicki Minaj featuring Drake,2011,50,0.51
I Need a Doctor,Dr. Dre featuring Eminem and Skylar Grey,2011,51,0.5
Just a Dream,Nelly,2011,52,0.49
Motivation,Kelly Rowland featuring Lil Wayne,2011,53,0.48
Stereo Love,Edward Maya featuring Vika Jigulina,2011,54,0.47
Jar of Hearts,Christina Perri,2011,55,0.46
Roll Up,Wiz Khalifa,2011,56,0.45
Sexy and I Know It,LMFAO,2011,57,0.44
Rocketeer,Far East Movement featuring Ryan Tedder,2011,58,0.43
All of the Lights,Kanye West,2011,59,0.42
Hold It Against Me,Britney Spears,2011,60,0.41
More,Usher,2011,61,0.4
What the Hell,Avril Lavigne,2011,62,0.39
Written in the Stars,Tinie Tempah featuring Eric Turner,2011,63,0.38
Bottoms Up,Trey Songz featuring Nicki Minaj,2011,64,0.37
DJ Got Us Fallin' in Love,Usher featuring Pitbull,2011,65,0.36
For the First Time,The Script,2011,66,0.35
Honey Bee,Blake Shelton,2011,67,0.34
Don't You Wanna Stay,Jason Aldean featuring Kelly Clarkson,2011,68,0.33
We Found Love,Rihanna featuring Calvin Harris,2011,69,0.32
Pretty Girl Rock,Keri Hilson,2011,70,0.31
Yoü and I,Lady Gaga,2011,71,0.3
Like a G6,Far East Movement featuring The Cataracs and Dev,2011,72,0.29
Without You,David Guetta featuring Usher,2011,73,0.28
Back to December,Taylor Swift,2011,74,0.27
Teenage Dream,Katy Perry,2011,75,0.26
Crazy Girl,Eli Young Band,2011,76,0.25
Cheers (Drink to That),Rihanna,2011,77,0.24
Who Says,Selena Gomez & the Scene,2011,78,0.23
Barefoot Blue Jean Night,Jake Owen,2011,79,0.22
Knee Deep,Zac Brown Band featuring Jimmy Buffett,2011,80,0.21
Country Girl (Shake It for Me),Luke Bryan,2011,81,0.2
Remind Me,Brad Paisley and Carrie Underwood,2011,82,0.19
In the Dark,Dev,2011,83,0.18
Backseat,New Boyz featuring The Cataracs and Dev,2011,84,0.17
Headlines,Drake,2011,85,0.16
Best Thing I Never Had,Beyoncé,2011,86,0.15
Don't Wanna Go Home,Jason Derulo,2011,87,0.14
Where Them Girls At,David Guetta featuring Flo Rida and Nicki Minaj,2011,88,0.13
She Ain't You,Chris Brown,2011,89,0.12
Take a Back Road,Rodney Atkins,2011,90,0.11
Please Don't Go,Mike Posner,2011,91,0.1
Sure Thing,Miguel,2011,92,0.09
Price Tag,Jessie J featuring B.o.B,2011,93,0.08
God Gave Me You,Blake Shelton,2011,94,0.07
She Will,Lil Wayne featuring Drake,2011,95,0.06
Are You Gonna Kiss Me or Not,Thompson Square,2011,96,0.05
Animal,Neon Trees,2011,97,0.04
You and Tequila,Kenny Chesney featuring Grace Potter,2011,98,0.03
Colder Weather,Zac Brown Band,2011,99,0.02
My Last,Big Sean featuring Chris Brown,2011,100,0.01
Somebody That I Used to Know,Gotye featuring Kimbra,2012,1,1.0
Call Me Maybe,Carly Rae Jepsen,2012,2,0.99
We Are Young,Fun featuring Janelle Monáe,2012,3,0.98
Payphone,Maroon 5 featuring Wiz Khalifa,2012,4,0.97
Lights,Ellie Goulding,2012,5,0.96
Glad You Came,The Wanted,2012,6,0.95
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7,0.94
We Found Love,Rihanna featuring Calvin Harris,2012,8,0.93
Starships,Nicki Minaj,2012,9,0.92
What Makes You Beautiful,One Direction,2012,10,0.91
Wild Ones,Flo Rida featuring Sia,2012,11,0.9
Set Fire to the Rain,Adele,2012,12,0.89
Sexy and I Know It,LMFAO,2012,13,0.88
Some Nights,Fun,2012,14,0.87
Wide Awake,Katy Perry,2012,15,0.86
Good Feeling,Flo Rida,2012,16,0.85
Whistle,Flo Rida,2012,17,0.84
One More Night,Maroon 5,2012,18,0.83
Drive By,Train,2012,19,0.82
The Motto,Drake featuring Lil Wayne,2012,20,0.81
Where Have You Been,Rihanna,2012,21,0.8
Everybody Talks,Neon Trees,2012,22,0.79
Take Care,Drake featuring Rihanna,2012,23,0.78
Titanium,David Guetta featuring Sia,2012,24,0.77
I Won't Give Up,Jason Mraz,2012,25,0.76
It Will Rain,Bruno Mars,2012,26,0.75
Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",2012,27,0.74
Boyfriend,Justin Bieber,2012,28,0.73
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2012,29,0.72
Too Close,Alex Clare,2012,30,0.71
Part of Me,Katy Perry,2012,31,0.7
"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,2012,32,0.69
We Are Never Ever Getting Back Together,Taylor Swift,2012,33,0.68
As Long as You Love Me,Justin Bieber featuring Big Sean,2012,34,0.67
Turn Me On,David Guetta featuring Nicki Minaj,2012,35,0.66
Moves like Jagger,Maroon 5 featuring Christina Aguilera,2012,36,0.65
Blow Me (One Last Kiss),Pink,2012,37,0.64
Good Time,Owl City and Carly Rae Jepsen,2012,38,0.63
Give Your Heart a Break,Demi Lovato,2012,39,0.62
Niggas in Paris,Jay-Z and Kanye West,2012,40,0.61
The One That Got Away,Katy Perry,2012,41,0.6
Feel So Close,Calvin Harris,2012,42,0.59
Someone like You,Adele,2012,43,0.58
Scream,Usher,2012,44,0.57
Rack City,Tyga,2012,45,0.56
Domino,Jessie J,2012,46,0.55
Gangnam Style,Psy,2012,47,0.54
International Love,Pitbull featuring Chris Brown,2012,48,0.53
Home,Phillip Phillips,2012,49,0.52
Without You,David Guetta featuring Usher,2012,50,0.51
Ass Back Home,Gym Class Heroes featuring Neon Hitch,2012,51,0.5
Wanted,Hunter Hayes,2012,52,0.49
Drunk on You,Luke Bryan,2012,53,0.48
No Lie,2 Chainz featuring Drake,2012,54,0.47
Want U Back,Cher Lloyd,2012,55,0.46
Don't Wake Me Up,Chris Brown,2012,56,0.45
Dance (A$$),Big Sean featuring Nicki Minaj,2012,57,0.44
Springsteen,Eric Church,2012,58,0.43
Brokenhearted,Karmin,2012,59,0.42
Not Over You,Gavin DeGraw,2012,60,0.41
Stereo Hearts,Gym Class Heroes featuring Adam Levine,2012,61,0.4
Back in Time,Pitbull,2012,62,0.39
Work Out,J. Cole,2012,63,0.38
Rumour Has It,Adele,2012,64,0.37
Let's Go,Calvin Harris featuring Ne-Yo,2012,65,0.36
Good Girl,Carrie Underwood,2012,66,0.35
Pontoon,Little Big Town,2012,67,0.34
Ho Hey,The Lumineers,2012,68,0.33
Paradise,Coldplay,2012,69,0.32
Blown Away,Carrie Underwood,2012,70,0.31
Rolling in the Deep,Adele,2012,71,0.3
Climax,Usher,2012,72,0.29
"Work Hard, Play Hard",Wiz Khalifa,2012,73,0.28
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2012,74,0.27
Pound the Alarm,Nicki Minaj,2012,75,0.26
Come Over,Kenny Chesney,2012,76,0.25
Heart Attack,Trey Songz,2012,77,0.24
Drank in My Cup,Kirko Bangz,2012,78,0.23
Birthday Cake,Rihanna featuring Chris Brown,2012,79,0.22
So Good,B.o.B,2012,80,0.21
50 Ways to Say Goodbye,Train,2012,81,0.2
Red Solo Cup,Toby Keith,2012,82,0.19
Love You Like a Love Song,Selena Gomez & the Scene,2012,83,0.18
Turn Up the Music,Chris Brown,2012,84,0.17
Die Young,Kesha,2012,85,0.16
5 O'Clock,T-Pain featuring Wiz Khalifa and Lily Allen,2012,86,0.15
A Thousand Years,Christina Perri,2012,87,0.14
Take a Little Ride,Jason Aldean,2012,88,0.13
You da One,Rihanna,2012,89,0.12
We Run the Night,Havana Brown featuring Pitbull,2012,90,0.11
It's Time,Imagine Dragons,2012,91,0.1
Cashin' Out,Cash Out,2012,92,0.09
I Don't Want This Night to End,Luke Bryan,2012,93,0.08
Diamonds,Rihanna,2012,94,0.07
Hard to Love,Lee Brice,2012,95,0.06
Somethin' 'Bout a Truck,Kip Moore,2012,96,0.05
Adorn,Miguel,2012,97,0.04
Fly Over States,Jason Aldean,2012,98,0.03
Even If It Breaks Your Heart,Eli Young Band,2012,99,0.02
Burn It Down,Linkin Park,2012,100,0.01
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2013,1,1.0
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013,2,0.99
Radioactive,Imagine Dragons,2013,3,0.98
Harlem Shake,Baauer,2013,4,0.97
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2013,5,0.96
Mirrors,Justin Timberlake,2013,6,0.95
Just Give Me a Reason,Pink featuring Nate Ruess,2013,7,0.94
When I Was Your Man,Bruno Mars,2013,8,0.93
Cruise,Florida Georgia Line featuring Nelly,2013,9,0.92
Roar,Katy Perry,2013,10,0.91
Locked Out of Heaven,Bruno Mars,2013,11,0.9
Ho Hey,The Lumineers,2013,12,0.89
Stay,Rihanna featuring Mikky Ekko,2013,13,0.88
Get Lucky,Daft Punk featuring Pharrell Williams,2013,14,0.87
Royals,Lorde,2013,15,0.86
I Knew You Were Trouble,Taylor Swift,2013,16,0.85
We Can't Stop,Miley Cyrus,2013,17,0.84
Wrecking Ball,Miley Cyrus,2013,18,0.83
Wake Me Up,Avicii,2013,19,0.82
Suit & Tie,Justin Timberlake featuring Jay-Z,2013,20,0.81
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,21,0.8
Holy Grail,Jay-Z featuring Justin Timberlake,2013,22,0.79
Scream & Shout,Will.i.am featuring Britney Spears,2013,23,0.78
Clarity,Zedd featuring Foxes,2013,24,0.77
Sail,Awolnation,2013,25,0.76
Don't You Worry Child,Swedish House Mafia featuring John Martin,2013,26,0.75
Diamonds,Rihanna,2013,27,0.74
I Love It,Icona Pop featuring Charli XCX,2013,28,0.73
